Model,MSE,RMSE,MAE,RÂ²
PCR (5 components),1.0000879150712108,1.0000439565695154,0.8659452224667187,-2.5445364131959636e-05
Mean Baseline,1.0001672975739233,1.0000836452886945,0.8659261914831851,-0.00010482290827895646
Lasso Regression,1.0001672975739233,1.0000836452886945,0.8659261914831851,-0.00010482290827895646
ElasticNet,1.0002835578470461,1.0001417688743162,0.8660191868048739,-0.00022107591929487747
Median Baseline,1.0003364253043876,1.000168198506825,0.865927391413519,-0.00027394007431214007
Backward Selection,1.001621442210177,1.0008103927368945,0.8666919173450587,-0.001558876712528523
Forward Selection,1.0017755121706429,1.0008873623793253,0.866747688185744,-0.0017129370491351104
PLS (2 components),1.0035395263699147,1.0017681999194796,0.8674262433251784,-0.0034768410606440536
Linear Regression,1.0047948479892022,1.0023945570428852,0.8676775285247661,-0.004732084267251135
Ridge Regression,1.0048121815690114,1.0024032030919552,0.8676847852925375,-0.004749416764332048
Random Baseline,1.987098192213982,1.4096447042478406,1.1437024583623843,-0.9869740696842189
